"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"Online Dialogue","16621de8c6152972","false",NA,"Fulltime","","","","","","","3511 Utrecht","Data Analist","3 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:20.336Z","NL","Data Analyst",NA
"Formorrow","3d5b765a313f8001","false",NA,"Parttime","Fulltime","","","","","","Rotterdam","Data Analist","3 dagen geleden",NA,4.8,5,"Vanaf € 2.700 per maand","2024-08-09T18:40:20.305Z","NL","Data Analyst",NA
"Ampère","d3cabf17732603b5","false",NA,"Fulltime","","","","","","","3542 Utrecht","Logistiek Business Analyst","3 dagen geleden",NA,NA,NA,"€ 40.000 - € 55.000 per jaar","2024-08-09T18:40:20.584Z","NL","Data Analyst",NA
"Chane","39c54baf26384a98","false",NA,"","","","","","","","Rotterdam","Reporting Analyst","3 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:20.881Z","NL","Data Analyst",NA
"Venture IQ","06047e773eae0e7c","false",NA,"Stage","","","","","","","Amsterdam","Full-time Internship Technology Analyst","3 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:21.354Z","NL","Data Analyst",NA
"code d'azur","19d44c253b4c72a8","false",NA,"","","","","","","","Amsterdam","Digital Project Manager","4 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:21.330Z","NL","Data Analyst",NA
"Johnson & Johnson","e8ad855ba739e275","false",NA,"","","","","","","","Leiden","Lab Analyst Quality Control","4 dagen geleden",NA,4.2,8096,"","2024-08-09T18:40:21.923Z","NL","Data Analyst",NA
"bunq","d40a6560da62be02","false",NA,"Fulltime","","","","","","","Amsterdam","Market Analyst Germany","4 dagen geleden",NA,3.9,195,"€ 53.000 - € 65.000 per jaar","2024-08-09T18:40:21.876Z","NL","Data Analyst",NA
"PGGM","016ec26a1c7f7fe3","false",NA,"","","","","","","","Zeist","Talentvolle Database marketeer","4 dagen geleden",NA,4.2,38,"€ 3.428 - € 4.888 per maand","2024-08-09T18:40:22.187Z","NL","Data Analyst",NA
"Lekkerland Nederland B.V.","d49d9de0ad46cdb1","false",NA,"Fulltime","","","","","","","5690 Son","Business Analist (M/V/X)","3 dagen geleden",NA,3.4,70,"","2024-08-09T18:40:22.424Z","NL","Data Analyst",NA
"Finalyse","43c3d7fd10eaeff3","false",NA,"Fulltime","","","","","","","Amsterdam","Data Management consultant - Risk and Regulatory Reporting","4 dagen geleden",NA,4,6,"","2024-08-09T18:40:22.576Z","NL","Data Analyst",NA
"ABN AMRO","83da9940f8f1e948","false",NA,"","","","","","","","Amstelveen","Data Warehouse Tester","4 dagen geleden",NA,4.1,1346,"","2024-08-09T18:40:22.842Z","NL","Data Analyst",NA
"De Volksbank","37559a4a64b5077a","false",NA,"Fulltime","Freelance / zzp","","","","","","Utrecht","Data Analist Ondernemen","4 dagen geleden",NA,4,30,"€ 3.609,86 - € 5.553,63 per maand","2024-08-09T18:40:23.479Z","NL","Data Analyst",NA
"Duke Energy","cf6816eb8f6f9cee","false",NA,"Fulltime","","","","","","","Drenthe","Sr Cybersecurity Systems Engineering Analyst (Data Protection)","3 dagen geleden",NA,3.8,1865,"","2024-08-09T18:40:23.865Z","NL","Data Analyst",NA
"Finalyse","7eeff895f0316822","false",NA,"Fulltime","","","","","","","Amsterdam","Data Engineer consultant - Risk and Regulatory Reporting","4 dagen geleden",NA,4,6,"","2024-08-09T18:40:25.318Z","NL","Data Analyst",NA
"REMOBIS Refund Service C.V","51e1323703f10eb3","false",NA,"Full-time","","","","","","","3584 Utrecht","Credit Risk Analyst","4 dagen geleden",NA,3.3,4,"","2024-08-09T18:40:25.869Z","NL","Data Analyst",NA
"FOTONIQ","f8fe05dcbf6b9b6c","false",NA,"Internship","","","","","","","2627 Delft","Data Analyst Intern","4 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:25.821Z","NL","Data Analyst",NA
"Eneco","d2c7163556161147","false",NA,"Parttime","Fulltime","","","","","","Rotterdam","Junior Analyst","10 dagen geleden",NA,3.6,130,"€ 58.000 - € 80.000 per jaar","2024-08-09T18:40:26.165Z","NL","Data Analyst",NA
"Evalan","daca8221f6dcc927","false",NA,"Fulltime","","","","","","","1018 Amsterdam Centrum","Business Analyst","5 dagen geleden",NA,NA,NA,"","2024-08-09T18:40:26.257Z","NL","Data Analyst",NA
"LOGEX Group B.V.","30f38f77a6524ae0","false",NA,"Fulltime","","","","","","","1082 Amsterdam","Data Engineer (dutch speaking)","4 dagen geleden",NA,3.8,5,"","2024-08-09T18:40:26.293Z","NL","Data Analyst",NA
"Odido","fcd6081389b99986","false",NA,"","","","","","","","2521 Den Haag","Product Owner Realtime Analytics","4 dagen geleden",NA,4.2,5,"","2024-08-09T18:40:26.626Z","NL","Data Analyst",NA
"Booking.com","f125c16ae39a71e4","false",NA,"Fulltime","","","","","","","1011 Amsterdam Centrum","Senior Financial Analyst","6 dagen geleden",NA,3.7,1112,"","2024-08-09T18:40:26.763Z","NL","Data Analyst",NA
